model,rmse,mae,r2,cv_rmse
LinearRegression,0.06291032534632286,0.04387136707157637,0.8064689958347094,0.062077757364569344
RandomForest,0.066559408801461,0.044417000000000054,0.783366508557457,0.0669140186913479
GradientBoosting,0.06887210998134716,0.04733622257240281,0.7680504873700353,0.06812768412557008
